lon,lat
-1.610089,54.888237
-1.50858,54.850522
-1.752098,54.970682
-1.752327,54.966423
-1.735849,54.971133
-1.75049,54.973042
-1.766314,54.975841
-1.765329,54.97609
-1.761915,54.974799
-1.780788,54.968894
-1.773965,54.970985
-1.58386,54.958621
-1.570531,54.953534
-1.569751,54.949128
-1.566539,54.951632
-1.537536,54.957834
-1.540786,54.953551
-1.540786,54.953551
-1.547391,54.953531
-1.540786,54.953551
-1.716151,54.957878
-1.722302,54.958144
-1.722302,54.958144
-1.712956,54.956909
-1.713991,54.956301
-1.723068,54.948827
-1.720918,54.957225
-1.724591,54.956712
-1.726884,54.954785
-1.720931,54.955355
-1.702347,54.968314
-1.650694,54.953619
-1.639344,54.956965
-1.637446,54.952736
-1.638709,54.954618
-1.626257,54.955362
-1.627655,54.957847
-1.625932,54.9551
-1.627195,54.957018
-1.625932,54.9551
-1.627655,54.957847
-1.625536,54.950705
-1.638241,54.945873
-1.625536,54.950705
-1.61624,54.946399
-1.638241,54.945873
-1.61624,54.946399
-1.616027,54.945823
-1.60832,54.954892
-1.606587,54.953323
-1.607034,54.953918
-1.613245,54.955861
-1.617745,54.950654
-1.608524,54.953168
-1.621803,54.949175
-1.622567,54.955953
-1.623357,54.949907
-1.619912,54.949322
-1.619239,54.946174
-1.623357,54.949907
-1.674759,54.9533
-1.67918,54.94703
-1.664503,54.947341
-1.679503,54.949637
-1.679503,54.949637
-1.600509,54.948945
-1.599816,54.954343
-1.606647,54.950358
-1.607969,54.949284
-1.615486,54.94849
-1.611126,54.947353
-1.612986,54.94549
-1.587559,54.945154
-1.587559,54.945154
-1.582674,54.944958
-1.592345,54.948801
-1.592345,54.948801
-1.587764,54.949442
-1.594137,54.94922
-1.592345,54.948801
-1.570793,54.950991
-1.57061,54.951988
-1.568929,54.951506
-1.570416,54.952608
-1.57268,54.951115
-1.568031,54.945006
-1.562171,54.945497
-1.572881,54.946919
-1.565885,54.948584
-1.565885,54.948584
-1.565885,54.948584
-1.579602,54.941632
-1.644242,54.943383
-1.644242,54.943383
-1.643233,54.940963
-1.531027,54.944132
-1.531717,54.941178
-1.541142,54.937314
-1.532951,54.94378
-1.531867,54.944405
-1.548649,54.941557
-1.550724,54.943047
-1.550724,54.943047
-1.553553,54.937108
-1.538753,54.948331
-1.550899,54.946948
-1.54772,54.954763
-1.549568,54.948749
-1.556547,54.947328
-1.559573,54.946144
-1.555502,54.944341
-1.552522,54.954107
-1.552522,54.954107
-1.555502,54.944341
-1.549112,54.943472
-1.549112,54.943472
-1.549112,54.943472
-1.547018,54.942251
-1.542791,54.940609
-1.542791,54.940609
-1.542791,54.940609
-1.545578,54.941168
-1.543742,54.939319
-1.544107,54.935968
-1.54736,54.938209
-1.582062,54.936302
-1.582062,54.936302
-1.583694,54.933854
-1.582279,54.936411
-1.59094,54.931938
-1.59746,54.943184
-1.592919,54.94307
-1.592338,54.944874
-1.677572,54.935398
-1.680982,54.938363
-1.67916,54.937855
-1.573792,54.940497
-1.57281,54.937411
-1.560892,54.932507
-1.561136,54.937379
-1.560041,54.936171
-1.55395,54.93365
-1.633983,54.943784
-1.680497,54.922744
-1.600584,54.927189
-1.601098,54.927344
-1.600435,54.93126
-1.598252,54.931082
-1.601447,54.936214
-1.599166,54.936459
-1.601447,54.936214
-1.569916,54.926285
-1.569916,54.926285
-1.566042,54.928203
-1.574423,54.926552
-1.569916,54.926285
-1.569916,54.926285
-1.566042,54.928203
-1.585133,54.929034
-1.585133,54.929034
-1.576485,54.929318
-1.576485,54.929318
-1.586777,54.93462
-1.585133,54.929034
-1.587358,54.932744
-1.585133,54.929034
-1.571784,54.92232
-1.559271,54.929482
-1.563529,54.929686
-1.562126,54.932395
-1.565415,54.928426
-1.754737,54.919483
-1.75506,54.922755
-1.75506,54.922755
-1.75506,54.922755
-1.593459,54.920444
-1.597951,54.922166
-1.57869,54.922892
-1.57953,54.923083
-1.769116,54.923106
-1.766564,54.921969
-1.810165,54.920067
-1.809059,54.919724
-1.813327,54.921133
-1.814815,54.906218
-1.814133,54.918914
-1.778321,54.931669
-1.778321,54.931669
-1.573336,54.903948
-1.584037,54.918786
-1.58887,54.917616
-1.584037,54.918786
-1.566944,54.903764
-1.621136,54.90381
-1.603499,54.914816
-1.621136,54.90381
-1.603499,54.914816
-1.621136,54.90381
-1.635734,54.891615
-1.610047,54.923257
-1.567654,54.882576
-1.571818,54.882384
-1.570143,54.882998
-1.575848,54.890477
-1.576476,54.895961
-1.578266,54.893298
-1.580118,54.896594
-1.578637,54.898053
-1.580118,54.896594
-1.586779,54.955675
-1.586525,54.95464
-1.578438,54.954433
-1.580637,54.954701
-1.601804,54.961701
-1.605141,54.965396
-1.601352,54.958464
-1.600901,54.961383
-1.601352,54.958464
-1.606949,54.96258
-1.602301,54.957263
-1.602301,54.957263
-1.597286,54.95748
-1.596003,54.956119
-1.598252,54.956127
-1.598252,54.956127
-1.598252,54.956127
-1.59723,54.950552
-1.593162,54.949882
-1.593162,54.949882
-1.598237,54.954518
-1.593658,54.947161
-1.59399,54.94833
-1.593658,54.947161
-1.668796,55.011991
-1.673985,55.05078
-1.685174,55.059041
-1.638816,55.042
-1.654653,55.032781
-1.662258,55.015927
-1.627312,55.023625
-1.627312,55.023625
-1.623782,55.019768
-1.622121,55.011801
-1.619128,55.014164
-1.645038,55.014278
-1.652525,55.014767
-1.653089,55.016449
-1.648623,55.013884
-1.647873,55.013765
-1.653089,55.016449
-1.647136,55.010519
-1.640959,55.008749
-1.64272,55.011252
-1.68576,55.006177
-1.711863,55.035518
-1.716105,55.013117
-1.716105,55.013117
-1.711863,55.035518
-1.692073,55.006687
-1.694259,55.007007
-1.692224,55.009419
-1.604692,55.011206
-1.604692,55.011206
-1.609703,55.013685
-1.609527,55.0092
-1.612115,55.008427
-1.609527,55.0092
-1.615923,55.000899
-1.608236,55.005296
